date,RFM,grade,count,sales,fraction,sales_contr,contr_eff,min,weight
2022-07-26,R,1,5062.0,200729028.0,0.1275480635976516,0.10127839401811076,0.7940410160799609,254.0,0.05431185311273248
2022-07-26,R,2,12805.0,558438710.0,0.3226497341698793,0.28176181726115607,0.87327459911312,176.0,0.05431185311273248
2022-07-26,R,3,10616.0,543549546.0,0.26749313377176404,0.2742494478085811,1.0252578970590769,89.0,0.05431185311273248
2022-07-26,R,4,11204.0,679235826.0,0.282309068460705,0.3427103409121521,1.2139544180453927,0.0,0.05431185311273248
2022-07-26,F,1,29558.0,1089654825.0,0.7447778869655051,0.5497883978698164,0.7381910868888085,1.0,0.3974935685274807
2022-07-26,F,2,7349.0,544276536.0,0.18517398644392372,0.27461625265191064,1.4830174471351718,2.0,0.3974935685274807
2022-07-26,F,3,2484.0,290428701.0,0.06258976491042406,0.146536615591274,2.3412232942716957,3.0,0.3974935685274807
2022-07-26,F,4,296.0,57593048.0,0.007458361680147151,0.02905873388699897,3.8961282830180006,5.0,0.3974935685274807
2022-07-26,M,1,27993.0,894217722.0,0.7053443192985108,0.45118005945155787,0.6396593083790225,1414.0,0.5481945783597868
2022-07-26,M,2,8181.0,594726790.0,0.2061380300854184,0.30007106979438075,1.455680301543771,52349.0,0.5481945783597868
2022-07-26,M,3,3160.0,404509375.0,0.07962305036913851,0.20409633959503715,2.5632820979456454,100400.0,0.5481945783597868
2022-07-26,M,4,353.0,88499223.0,0.008894600246932245,0.04465253115902424,5.020184147615284,189585.0,0.5481945783597868
