date,hour,screenpageviews,screenPageViewsPerSession,ecommercePurchases,purchaseToViewRate,activeUsers,totalPurchasers,sessions,purchaserConversionRate,sessionConversionRate:purchase,userConversionRate:purchase,userConversionRate:view_item,userConversionRate:scroll
2023-03-06,22,830,3.3877551020408165,11,0.34375,242,11,245,0.045454545454545456,0.044897959183673466,0.045454545454545456,0.082251082251082255,0.18181818181818182
2023-03-06,23,806,2.7697594501718212,7,0.175,287,7,291,0.024390243902439025,0.024054982817869417,0.024390243902439025,0.083032490974729242,0.16967509025270758
2023-03-06,1,708,2.4413793103448276,5,0.17241379310344829,285,5,290,0.017543859649122806,0.017241379310344827,0.017543859649122806,0.060714285714285714,0.096428571428571433
2023-03-06,21,678,2.8132780082987554,6,0.20689655172413793,233,6,241,0.02575107296137339,0.024896265560165973,0.02575107296137339,0.0730593607305936,0.18721461187214611
2023-03-06,0,671,2.0395136778115504,9,0.34615384615384615,317,9,329,0.028391167192429023,0.027355623100303952,0.028391167192429023,0.055555555555555552,0.0784313725490196
2023-03-06,20,548,2.6601941747572817,7,0.28,201,7,206,0.03482587064676617,0.033980582524271843,0.03482587064676617,0.091370558375634514,0.12182741116751269
2023-03-06,2,490,2.4137931034482758,4,0.26666666666666666,198,4,203,0.020202020202020204,0.019704433497536946,0.020202020202020204,0.04736842105263158,0.089473684210526316
2023-03-06,15,471,2.4030612244897958,2,0.095238095238095233,188,2,196,0.010638297872340425,0.01020408163265306,0.010638297872340425,0.070270270270270274,0.081081081081081086
2023-03-06,19,458,2.29,3,0.14285714285714285,196,3,200,0.015306122448979591,0.015,0.015306122448979591,0.074468085106382975,0.12234042553191489
2023-03-06,18,456,2.6823529411764704,6,0.31578947368421051,164,6,170,0.036585365853658534,0.035294117647058823,0.036585365853658534,0.082802547770700632,0.17197452229299362
2023-03-06,14,449,2.7048192771084336,4,0.21052631578947367,164,4,166,0.024390243902439025,0.024096385542168676,0.024390243902439025,0.084415584415584416,0.18831168831168832
2023-03-06,16,445,2.3056994818652852,3,0.11538461538461539,188,3,193,0.015957446808510637,0.015544041450777202,0.015957446808510637,0.085714285714285715,0.08
2023-03-06,11,437,2.6011904761904763,3,0.13043478260869565,161,3,168,0.018633540372670808,0.017857142857142856,0.018633540372670808,0.058823529411764705,0.15686274509803921
2023-03-06,8,428,2.8344370860927151,5,0.2,143,4,151,0.027972027972027972,0.026490066225165563,0.027972027972027972,0.1111111111111111,0.14074074074074075
2023-03-06,10,404,2.6405228758169934,6,0.35294117647058826,150,6,153,0.04,0.0392156862745098,0.04,0.067567567567567571,0.12162162162162163
2023-03-06,17,392,2.0851063829787235,4,0.25,184,4,188,0.021739130434782608,0.021276595744680851,0.021739130434782608,0.028409090909090908,0.11931818181818182
2023-03-06,12,379,2.7071428571428573,7,0.4375,137,7,140,0.051094890510948905,0.05,0.051094890510948905,0.07575757575757576,0.13636363636363635
2023-03-06,13,362,2.3205128205128207,4,0.22222222222222221,151,4,156,0.026490066225165563,0.02564102564102564,0.026490066225165563,0.088435374149659865,0.11564625850340136
2023-03-06,3,360,3.0252100840336134,2,0.16666666666666666,115,2,119,0.017391304347826087,0.01680672268907563,0.017391304347826087,0.045871559633027525,0.091743119266055051
2023-03-06,9,332,2.4233576642335768,5,0.23809523809523808,133,5,137,0.037593984962406013,0.0364963503649635,0.037593984962406013,0.088,0.128
2023-03-06,7,263,2.5784313725490198,1,0.125,94,1,102,0.010638297872340425,0.00980392156862745,0.010638297872340425,0.034090909090909088,0.10227272727272728
2023-03-06,4,139,1.8289473684210527,2,1,76,2,76,0.026315789473684209,0.026315789473684209,0.026315789473684209,0.013157894736842105,0.078947368421052627
2023-03-06,6,125,1.838235294117647,2,0.33333333333333331,64,2,68,0.03125,0.029411764705882353,0.03125,0.047619047619047616,0.095238095238095233
2023-03-06,5,118,1.6388888888888888,1,0.25,70,1,72,0.014285714285714285,0.013888888888888888,0.014285714285714285,0.044776119402985072,0.1044776119402985
