date,portal,relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx,sumQcCnt
2023-02-06,네이버,CHEREMIMAKA,30,80,1.8,0.6,5.89,0.77,2,중간,110
2023-02-06,네이버,EVE러브젤,0,20,0.0,0.0,0.0,0.0,0,낮음,20
2023-02-06,네이버,EVE콘돔,80,330,0.0,0.7,0.0,0.25,3,높음,410
2023-02-06,네이버,리얼003,10,80,0.6,0.0,5.0,0.0,2,중간,90
2023-02-06,네이버,이브러브젤,20,300,0.0,0.0,0.0,0.0,0,낮음,320
2023-02-06,네이버,이브리얼,130,990,2.2,13.8,1.75,1.52,6,중간,1120
2023-02-06,네이버,이브리얼003,190,2470,2.8,76.3,1.55,3.34,4,낮음,2660
2023-02-06,네이버,이브울트라씬,20,680,0.0,3.2,0.0,0.51,3,높음,700
2023-02-06,네이버,이브워시,0,0,0.0,0.0,0.0,0.0,0,낮음,0
2023-02-06,네이버,이브젤,220,1780,6.1,2.1,3.1,0.13,2,낮음,2000
2023-02-06,네이버,이브컵,90,770,3.3,13.0,3.98,1.78,7,중간,860
2023-02-06,네이버,이브콘돔,630,4800,5.0,134.9,3.42,3.1,1,낮음,5430
2023-02-06,네이버,이브퍼스널젤,0,70,0.0,0.5,0.0,0.72,1,중간,70
2023-02-06,네이버,이브피팬티,0,100,0.3,2.1,11.12,2.26,3,낮음,100
2023-02-06,네이버,이브핑거돔,40,650,0.0,47.0,0.0,7.96,0,낮음,690
2023-02-06,네이버,인스팅터스,340,400,0.5,2.2,0.18,0.61,2,중간,740
2023-02-06,네이버,인티밋젤,20,90,0.0,0.3,0.0,0.41,3,높음,110
2023-02-06,네이버,체레미마카,1090,4800,27.9,138.0,2.76,3.1,8,중간,5890
2023-02-06,네이버,체레미마카러브젤,0,10,0.0,0.0,0.0,0.0,0,낮음,10
2023-02-06,네이버,체레미마카생리대,0,20,0.0,0.0,0.0,0.0,2,중간,20
2023-02-06,네이버,체레미마카생리팬티,0,20,0.0,0.0,0.0,0.0,2,중간,20
2023-02-06,네이버,체레미마카외음부세정제,0,0,0.0,1.0,0.0,50.0,0,낮음,0
2023-02-06,네이버,체레미마카인티밋젤,0,30,0.8,0.0,10.72,0.0,4,낮음,30
2023-02-06,네이버,체레미마카젤,40,630,1.0,2.0,2.47,0.35,2,낮음,670
2023-02-06,네이버,체레미마카콘돔,40,270,4.0,13.0,11.43,5.34,1,낮음,310
2023-02-06,네이버,체레미마카핑거돔,0,30,0.0,0.0,0.0,0.0,0,낮음,30
2023-02-06,네이버,콘돔이브,10,150,0.0,0.0,0.0,0.0,0,낮음,160
2023-02-06,네이버,피팬티,0,10,0.0,0.0,0.0,0.0,5,중간,10
